Armadillo
AWS
Azure
Bagging
BeautifulSoup
BioConductor
Bokeh
Boosting
Caffe
CARAT
Caret
CatBoost
CNN
Deep Learning
dplyr
DT
Esquisse
FANN
FastAi
Flask
GAN
GCP
Gensim
ggplot
ggplot2
ggvis
git
Git hub
Gluon
Janitor
Javascript
json
Juptyr
Keras
Knitr
Leaflet
LightGBM
Lubridate
Machine Learning
Matplotlib
mlpack
mlr
MXNet
MySQL
Neural Networks
NLTK
NumPy
OpenCV
OpenNN
Pandas
Plotly
Python
PyTorch
R
rackspace
randomForest
Rcharts
RCrawler
RMySQL
RNN
Rpart
Scikit-Learn
SciPy
Scrapy
Seaborn
Shogun
Siny
Spacy
Spark
SQL
Statsmodels
TensorFlow
Theano
XGBoost
